Time (sec), Vehicle speed (MPH), Instant fuel economy (MPG), Fuel rate (gal/hr), Input voltage read by the scan tool (V), Engine Power (hp), Trip Distance (miles), Trip Fuel (gal), Trip Duration (min), Seconds Idling (sec), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Intake air temperature (°F), Absolute throttle position (%), O2 voltage (Bank 1  Sensor 1) (V), O2 voltage (Bank 1  Sensor 2) (V),, Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Torque (lb•ft), GPS Speed (MPH)
0,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,3.814958
0.961,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,5.374192
1.957,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,4.571951
2.953,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,5.374192
4.003,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,5.268763
4.956,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,6.297328
5.953,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,7.866346
6.907,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,7.866346
7.859,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.447486
8.804,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,10.21296
9.76,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,10.08639
10.778,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,10.08639
11.66,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.07484
12.662,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.07484
13.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,8.404496
14.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.07484
15.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.508201
16.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.918711
17.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.508201
18.657,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.918711
19.789,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,12.5004
20.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,12.5004
21.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,12.5004
22.669,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,12.7601
23.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,13.02911
24.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,13.02911
25.66,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,13.02911
26.664,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,11.0794
27.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,12.40204
28.674,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,12.40204
29.671,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,12.40204
30.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,12.76736
31.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,16.02129
32.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,17.4698
33.671,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,18.25783
34.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.27426
35.669,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.56147
36.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.71368
37.669,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.15203
38.671,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.10902
39.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.24554
40.671,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.53842
41.672,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.56542
42.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,20.55613
43.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.91466
44.671,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,20.06466
45.671,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,20.00541
46.674,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.49099
47.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,19.43419
48.671,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,18.92655
49.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,17.08228
50.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,17.03866
51.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,16.28684
52.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,13.93642
53.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,12.97363
54.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,10.7335
55.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,7.791662
56.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,5.649961
57.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,4.239339
58.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,3.598366
59.661,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,1.843115
60.674,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0.5995516
61.669,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0.1425114
62.675,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0.06523941
63.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
64.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0.1238905
65.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0.1499581
66.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0.5795228
67.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,3.587947
68.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,7.265564
69.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,10.38823
70.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,13.0448
71.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,13.71038
72.664,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,11.89421
73.664,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,11.12638
74.664,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,11.27744
75.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.605326
76.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.636161
77.673,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,8.650848
78.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,8.09748
79.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,6.169551
80.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,4.687865
81.671,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,4.357116
82.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,4.336297
83.66,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,3.456948
84.669,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,2.643069
85.66,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
86.663,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
87.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
88.679,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
89.66,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
90.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
91.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
92.669,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
93.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
94.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
95.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
96.669,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
97.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
98.664,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
100.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
101.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
102.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
103.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
104.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
105.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
106.674,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
107.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
108.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
114.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
115.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
116.664,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
119.669,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
121.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
122.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
123.666,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
124.662,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
125.657,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
127.662,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
128.67,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
130.672,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
132.671,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
137.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
139.667,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
143.669,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,0
